# Alignment between cv2pm stage snapshots and UB model debug artifacts.
#
# cv2pm writes <phase>-<ordinal>-<name>.generic.mlir via --dump-stage-oracle-dir.
# The model writes <NNN>_after_<PassName>.tsv via --debug --debug-dir.  Neither
# numbering is stable when options change the pass set, so alignment is keyed on
# the stage NAME plus which occurrence of it (1-based), not on the ordinal.
#
# Only stages where both sides have a snapshot of the same program point can be
# aligned.  The model has finer-grained artifacts (dimension analysis, semantic
# IR bridges) with no cv2pm counterpart; those are intentionally absent here.
#
# Columns:
#   cv2pm_stage        <phase>-<name> exactly as cv2pm names the snapshot
#   model_stage        model pass name as it appears in the artifact filename
#   model_occurrence   1-based occurrence of that pass name in the model run
#   note               why the two points correspond
cv2pm_stage	model_stage	model_occurrence	note
post-TileCubeVectorLoop	TileCubeVectorLoop	1	MIX loop tiling
post-InferAndSetBufferSize	InferAndSetBufferSize	1	buffer size inference
post-WorkspaceSemanticProjection	GlobalWorkspacePlan	1	global workspace PlanMemory projection
post-CanonicalizationBeforeSplit	CanonicalizationHIVMPipeline	1	canonicalization before SplitMixKernel
post-CrossCoreSyncInvariant	MarkRealCoreType	2	after CrossCoreGSS and the second MarkRealCoreType
post-SplitMixKernelAIVProjection	SplitMixKernel	1	MIX kernel split into AIC/AIV
post-InlineScope	InlineScope	1	scope inlining
post-TileAndBindSubBlock	TileAndBindSubBlock	1	sub-block tiling and binding
post-FoldTensorEmpty	FoldTensorEmpty	1	fold after TileAndBindSubBlock
post-CanonicalizationAfterSplit	CanonicalizationHIVMPipelineSourceAligned	1	canonicalization after split
post-LoopInvariantCodeMotion	LoopInvariantCodeMotion	1	LICM
post-LoopInvariantSubsetHoisting	LoopInvariantSubsetHoisting	1	subset hoisting
post-CloneTensorEmpty	CloneTensorEmpty	1	unconditional clone before bufferization
post-InlineOTFLoadStore	HIVMInlineOTFLoadStore	1	OTF load/store inlining
suffix-OneShotBufferize	OneShotBufferize	1	tensor to memref bufferization
suffix-AllocExtraBuffer	AllocExtraBuffer	1	extra buffer allocation
suffix-InlineLoadCopy	InlineLoadCopy	1	load/copy inlining
suffix-MarkMultiBuffer	MarkMultiBuffer	1	multi-buffer marking
